TIPO DE MORTE;HORA;BAIRRO DA OCORRENCIA;LOGRADOURO DA OCORRENCIA;GENERO;ETNIA;IDADE;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;DIA;DIA DA SEMANA;FAIXA ;HORARIO APROXIMADO;TURNO
HOMICIDIO;10:37;CIDADE ALTA;RUA TRAMPOLIM , 172;MASCULINO;NI;23;SEM PROFISSAO;NI;ARMA DE FOGO;julho;16;sábado;ADULTO;11;MATUTINO
HOMICIDIO;20:57;CIDADE ALTA;TV FLOR DE LIS, PACO DA PATRIA;MASCULINO;PARDA;35;DESEMPREGADO;NI;ARMA DE FOGO;abril;19;terça-feira;ADULTO;21;NOTURNO
HOMICIDIO;16:30;CIDADE ALTA;RUA DAS ARVORES , 471;MASCULINO;PARDA;53;POLICIAL MILITAR;SUPERIOR;ARMA DE FOGO;julho;29;sexta-feira;ADULTO;17;VESPERTINO
HOMICIDIO;NI;CIDADE DA ESPERANÇA;AV CAPITAO MOR GOUVEIA - EM FRENTE A RODOVIARIA;MASCULINO;PARDA;24;CARREGADOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;dezembro;15;quinta-feira;ADULTO;NI;NI
HOMICIDIO;12:58;CIDADE DA ESPERANÇA;AV PARAIBA;MASCULINO;NEGRA;19;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;março;15;terça-feira;ADULTO;13;VESPERTINO
LESAO CORPORAL SEGUIDA DE MORTE;19:25;CIDADE DA ESPERANÇA;NI;MASCULINO;PARDA;43;AGRICULTOR(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;maio;15;domingo;ADULTO;19;NOTURNO
HOMICIDIO;21:14;CIDADE DA ESPERANÇA;R OTAVIO RODRIGUES C/ A TV ALVORADA - NOVA CIDADE;MASCULINO;PARDA;22;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;fevereiro;7;domingo;ADULTO;21;NOTURNO
HOMICIDIO;21:14;CIDADE DA ESPERANÇA;R OTAVIO RODRIGUES C/ A TV ALVORADA - NOVA CIDADE;MASCULINO;PARDA;34;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;fevereiro;7;domingo;ADULTO;21;NOTURNO
HOMICIDIO;08:00;CIDADE DA ESPERANÇA;AV CAP MOR GOUVEIA;MASCULINO;NEGRA;29;AUXILIAR DE COZINHA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;janeiro;9;sábado;ADULTO;8;MATUTINO
HOMICIDIO;01:43;CIDADE DA ESPERANÇA;RUA CAMPINA GRANDE;MASCULINO;PARDA;26;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;julho;3;domingo;ADULTO;2;MADRUGADA
HOMICIDIO;15:19;CIDADE DA ESPERANÇA;RUA CAMPINA GRANDE;MASCULINO;NI;45;SERRALHEIRO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;julho;16;sábado;ADULTO;15;VESPERTINO
HOMICIDIO;02:55;CIDADE DA ESPERANÇA;TV GERALDO BURITI - PROXIMO AO SUPERMERCADO BETO NELO;MASCULINO;BRANCA;27;GARCOM;ENSINO MEDIO COMPLETO;ARMA DE FOGO;setembro;25;domingo;ADULTO;3;MADRUGADA
HOMICIDIO;NI;CIDADE DA ESPERANÇA;TV NATAL ;MASCULINO;PARDA;20;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;agosto;22;segunda-feira;ADULTO;NI;NI
HOMICIDIO;02:43;CIDADE DA ESPERANÇA;AV PARAIBA;MASCULINO;NEGRA;22;DESEMPREGADO;NI;ARMA DE FOGO;fevereiro;7;domingo;ADULTO;3;MADRUGADA
